City,Latitude,Longitude,Max Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph),Country,Date
Praia,14.92,-23.51,75.2,69,0,11.41,CV,1606865103
Celestún,20.87,-90.4,73.45,68,33,14.54,MX,1606865103
Malbork,54.04,19.03,28.0,100,3,6.04,PL,1606865103
Rikitea,-23.12,-134.97,75.69,68,59,5.48,PF,1606865104
Mersing,2.43,103.84,77.0,94,87,5.82,MY,1606865104
East London,-33.02,27.91,63.68,65,69,22.28,ZA,1606865104
Tucuruí,-3.77,-49.67,79.57,75,74,0.76,BR,1606865104
Vaini,-21.2,-175.2,82.4,74,75,8.05,TO,1606865104
Puerto Ayora,-0.74,-90.35,72.0,91,75,3.0,EC,1606864930
Coruripe,-10.13,-36.18,77.63,80,60,10.0,BR,1606865105
Hermanus,-34.42,19.23,51.01,89,46,8.7,ZA,1606865105
Simi,9.57,-12.35,77.54,76,93,3.36,SL,1606865105
Ucluelet,48.93,-125.55,46.4,75,20,8.05,CA,1606865105
Mossamedes,-15.2,12.15,69.82,66,3,5.01,AO,1606865105
George Town,5.41,100.34,77.0,88,20,2.24,MY,1606865105
Los Algarrobos,8.5,-82.43,77.0,94,75,4.7,PA,1606865105
Ulladulla,-35.35,150.47,69.8,68,75,9.17,AU,1606865105
Olonets,60.98,32.97,35.6,96,100,14.32,RU,1606865105
Castro,-24.79,-50.01,65.16,94,20,5.23,BR,1606865105
Qaanaaq,77.48,-69.36,-0.74,86,100,6.98,GL,1606865105
Vostok,46.49,135.88,-2.94,94,44,5.86,RU,1606865105
Tual,-5.67,132.75,82.08,75,95,6.22,ID,1606865106
Half Moon Bay,37.46,-122.43,64.0,67,1,11.41,US,1606865106
Rome,43.21,-75.46,37.4,86,90,5.82,US,1606864924
Barrow,71.29,-156.79,3.2,84,90,21.92,US,1606865106
Acapulco de Juárez,16.86,-99.89,84.2,66,75,6.93,MX,1606865104
Ushuaia,-54.8,-68.3,39.2,86,40,20.8,AR,1606864881
Morondava,-20.28,44.28,74.7,91,17,7.23,MG,1606865106
Torbay,47.67,-52.73,42.01,86,90,25.28,CA,1606865106
Ribeira Grande,38.52,-28.7,62.62,78,95,34.05,PT,1606865106
Hobart,-42.88,147.33,57.2,35,40,18.34,AU,1606865106
Albany,42.6,-73.97,45.0,50,28,1.01,US,1606864936
Kaitangata,-46.28,169.85,67.69,30,96,10.38,NZ,1606865106
Longyearbyen,78.22,15.64,6.8,60,40,2.24,SJ,1606865106
Hithadhoo,-0.6,73.08,82.04,73,94,12.15,MV,1606865106
Tasiilaq,65.61,-37.64,19.4,62,95,26.4,GL,1606865106
Mahébourg,-20.41,57.7,75.2,94,75,10.29,MU,1606865107
Faanui,-16.48,-151.75,80.44,79,4,16.91,PF,1606865107
Zlobin,45.29,14.65,39.0,55,0,17.22,HR,1606865107
Inzer,54.22,57.56,12.27,88,0,2.3,RU,1606865107
Punta Arenas,-53.15,-70.92,41.0,63,75,32.21,CL,1606864924
San Patricio,28.02,-97.52,64.4,63,20,16.11,US,1606865107
Lanigan,51.85,-105.03,32.0,97,99,12.75,CA,1606865107
Amahai,-3.33,128.92,88.0,82,77,1.01,ID,1606864921
Jamestown,42.1,-79.24,30.0,92,90,10.29,US,1606865099
Wardha,20.75,78.62,59.0,87,0,2.24,IN,1606865107
Busselton,-33.65,115.33,59.0,70,28,5.01,AU,1606865107
Stokmarknes,68.56,14.91,37.0,68,96,18.01,NO,1606865107
Cape Town,-33.93,18.42,62.01,67,40,20.8,ZA,1606865041
Port Elizabeth,-33.92,25.57,59.0,87,75,13.87,ZA,1606865107
Rizhao,35.43,119.46,36.66,90,100,7.34,CN,1606865107
Mataura,-46.19,168.86,68.0,34,97,13.0,NZ,1606865107
Sharjah city,25.36,55.4,71.6,82,0,2.24,AE,1606865107
Provideniya,64.38,-173.3,17.6,61,0,15.66,RU,1606865107
Kapaa,22.08,-159.32,80.6,69,1,6.93,US,1606864963
Shimoda,34.67,138.95,53.6,71,75,20.8,JP,1606865108
Lac du Bonnet,50.25,-96.06,28.99,74,90,5.82,CA,1606865108
Kainantu,-6.29,145.87,65.28,93,98,3.49,PG,1606865108
Marshalltown,42.05,-92.91,32.0,58,1,4.7,US,1606864881
